hour,subscriber_start,customer_start,total_start,pct_start,all_boston_pct_start,subscriber_end,customer_end,total_end,pct_end,all_boston_pct_end
0:00,235,112,347,0.006634038,0.008042195,383,158,541,0.010461384,0.009157467
1:00,142,74,216,0.004129545,0.005585772,265,137,402,0.007773524,0.005991326
2:00,84,57,141,0.002695675,0.003447633,146,101,247,0.004776269,0.004081631
3:00,38,30,68,0.001300042,0.00119142,42,41,83,0.001604981,0.001629059
4:00,153,16,169,0.003230987,0.00131976,33,13,46,0.000889508,0.001226072
5:00,881,67,948,0.018124116,0.005836035,88,18,106,0.002049735,0.004716913
6:00,2103,98,2201,0.042079303,0.018838988,493,38,531,0.010268013,0.015358842
7:00,4177,271,4448,0.085038045,0.051676844,1749,76,1825,0.03529025,0.042211362
8:00,6307,381,6688,0.12786296,0.090267315,2411,185,2596,0.050199172,0.08659466
9:00,2894,276,3170,0.060604902,0.055093247,2369,165,2534,0.049000271,0.062567325
10:00,1655,372,2027,0.038752724,0.040248192,1389,229,1618,0.031287466,0.039552163
11:00,1995,405,2400,0.045883837,0.045239751,1558,263,1821,0.035212902,0.041881529
12:00,1963,499,2462,0.04706917,0.052957247,1884,359,2243,0.043373168,0.05114124
13:00,1909,558,2467,0.047164761,0.052552976,2090,397,2487,0.048091426,0.052448166
14:00,1654,497,2151,0.041123389,0.052788266,2008,459,2467,0.047704683,0.0514638
15:00,2007,537,2544,0.048636868,0.060224697,2390,596,2986,0.057740651,0.058056612
16:00,2579,544,3123,0.059706343,0.086208357,3358,684,4042,0.078160653,0.079465816
17:00,4046,660,4706,0.089970558,0.114428978,6211,902,7113,0.137544959,0.112944088
18:00,3898,708,4606,0.088058731,0.085854139,5207,757,5964,0.115326604,0.093224262
19:00,2390,594,2984,0.057048905,0.060153683,3791,673,4464,0.086320919,0.066680185
20:00,1447,340,1787,0.034164341,0.041441751,2567,508,3075,0.059461654,0.046199305
21:00,1021,250,1271,0.024299316,0.030371167,1725,356,2081,0.040240554,0.033278489
22:00,621,180,801,0.015313731,0.022137746,1205,302,1507,0.029141045,0.023908407
23:00,398,183,581,0.011107712,0.01409384,723,212,935,0.01808021,0.016221285